tconst	parentTconst	seasonNumber	episodeNumber
tt0532819	tt0171982	1	37
tt0533453	tt0118276	2	7
tt0533487	tt0118276	2	2
tt0534171	tt0149427	2	9
tt0534885	tt0395843	1	17
tt0534958	tt0066635	1	21
tt0534968	tt0066635	1	15
tt0535167	tt0083395	6	9
tt0536017	tt0066636	5	18
tt0536241	tt0047717	1	15
tt0537354	tt0096555	17	38
tt0537428	tt0096555	18	29
tt0537719	tt0044248	4	7
tt0538532	tt0098766	1	13
tt0539315	tt0158552	8	14
tt0539316	tt0158552	7	1
tt0539317	tt0158552	4	6
tt0539318	tt0158552	4	10
tt0539319	tt0158552	5	8
tt0539320	tt0158552	5	1
tt0539321	tt0158552	5	2
tt0539322	tt0158552	6	20
tt0539323	tt0158552	3	4
tt0539324	tt0158552	3	22
tt0539325	tt0158552	2	13
tt0539326	tt0158552	2	21
tt0539327	tt0158552	2	20
tt0539328	tt0158552	2	12
tt0539329	tt0158552	5	16
tt0539330	tt0158552	8	8
tt0539331	tt0158552	2	22
tt0539332	tt0158552	4	18
tt0539333	tt0158552	4	8
tt0539334	tt0158552	3	11
tt0539335	tt0158552	4	7
tt0539336	tt0158552	3	13
tt0539337	tt0158552	7	14
tt0539338	tt0158552	5	18
tt0539339	tt0158552	5	12
tt0539340	tt0158552	7	13
tt0539341	tt0158552	4	1
tt0539342	tt0158552	4	2
tt0539343	tt0158552	7	8
tt0539344	tt0158552	4	13
tt0539345	tt0158552	7	4
tt0539346	tt0158552	7	3
tt0539347	tt0158552	2	18
tt0539348	tt0158552	6	10
tt0539349	tt0158552	3	9
tt0539350	tt0158552	6	19
tt0539351	tt0158552	1	4
tt0539352	tt0158552	7	21
tt0539353	tt0158552	3	16
tt0539354	tt0158552	8	4
tt0539355	tt0158552	1	5
tt0539356	tt0158552	1	22
tt0539357	tt0158552	4	4
tt0539358	tt0158552	2	19
tt0539359	tt0158552	3	20
tt0539360	tt0158552	7	12
tt0539361	tt0158552	1	11
tt0539362	tt0158552	6	3
tt0539363	tt0158552	7	19
tt0539364	tt0158552	1	13
tt0539365	tt0158552	2	15
tt0539366	tt0158552	5	3
tt0539367	tt0158552	2	10
tt0539368	tt0158552	4	3
tt0539369	tt0158552	5	13
tt0539370	tt0158552	2	17
tt0539371	tt0158552	8	9
tt0539372	tt0158552	6	17
tt0539373	tt0158552	6	15
tt0539374	tt0158552	1	2
tt0539375	tt0158552	7	20
tt0539376	tt0158552	1	15
tt0539377	tt0158552	6	22
tt0539378	tt0158552	6	23
tt0539379	tt0158552	3	15
tt0539380	tt0158552	8	6
tt0539381	tt0158552	7	18
tt0539382	tt0158552	6	9
tt0539383	tt0158552	4	20
tt0539384	tt0158552	3	21
tt0539385	tt0158552	4	12
tt0539386	tt0158552	1	21
tt0539387	tt0158552	6	5
tt0539388	tt0158552	5	17
tt0539389	tt0158552	3	2
tt0539390	tt0158552	8	2
tt0539391	tt0158552	4	15
tt0539392	tt0158552	2	2
tt0539393	tt0158552	8	11
tt0539394	tt0158552	2	9
tt0539395	tt0158552	2	16
tt0539396	tt0158552	4	9
tt0539397	tt0158552	6	6
tt0539398	tt0158552	5	21
tt0539399	tt0158552	5	19
tt0539400	tt0158552	5	22
tt0539401	tt0158552	5	23
tt0539402	tt0158552	3	3
tt0539403	tt0158552	7	6
tt0539404	tt0158552	7	11
tt0539405	tt0158552	1	19
tt0539406	tt0158552	2	8
tt0539407	tt0158552	2	14
tt0539408	tt0158552	8	12
tt0539409	tt0158552	3	7
tt0539410	tt0158552	3	17
tt0539411	tt0158552	3	6
tt0539412	tt0158552	6	12
tt0539413	tt0158552	2	11
tt0539414	tt0158552	8	13
tt0539415	tt0158552	8	5
tt0539416	tt0158552	8	3
tt0539417	tt0158552	5	9
tt0539418	tt0158552	5	14
tt0539419	tt0158552	4	17
tt0539420	tt0158552	7	17
tt0539421	tt0158552	1	14
tt0539422	tt0158552	5	20
tt0539423	tt0158552	2	5
tt0539424	tt0158552	7	15
tt0539425	tt0158552	3	5
tt0539426	tt0158552	3	18
tt0539427	tt0158552	5	4
tt0539428	tt0158552	4	5
tt0539429	tt0158552	3	8
tt0539430	tt0158552	7	7
tt0539431	tt0158552	1	1
tt0539432	tt0158552	7	22
tt0539433	tt0158552	6	7
tt0539434	tt0158552	6	18
tt0539435	tt0158552	8	1
tt0539436	tt0158552	7	5
tt0539437	tt0158552	6	8
tt0539438	tt0158552	5	7
tt0539439	tt0158552	1	3
tt0539440	tt0158552	1	17
tt0539441	tt0158552	2	6
tt0539442	tt0158552	7	2
tt0539443	tt0158552	6	16
tt0539444	tt0158552	5	15
tt0539445	tt0158552	3	19
tt0539446	tt0158552	2	4
tt0539447	tt0158552	5	6
tt0539448	tt0158552	4	16
tt0539449	tt0158552	1	7
tt0539450	tt0158552	3	14
tt0539451	tt0158552	3	1
tt0539452	tt0158552	5	11
tt0539453	tt0158552	8	15
tt0539454	tt0158552	6	14
tt0539455	tt0158552	8	7
tt0539456	tt0158552	2	3
tt0539457	tt0158552	6	4
tt0539458	tt0158552	1	20
tt0539459	tt0158552	7	16
tt0539460	tt0158552	4	14
tt0539461	tt0158552	1	8
tt0539462	tt0158552	1	6
tt0539463	tt0158552	1	12
tt0539464	tt0158552	1	9
tt0539465	tt0158552	7	9
tt0539466	tt0158552	2	7
tt0539467	tt0158552	4	11
tt0539469	tt0158552	6	13
tt0539470	tt0158552	6	1
tt0539471	tt0158552	6	2
tt0539472	tt0158552	8	10
tt0539473	tt0158552	3	10
tt0539474	tt0158552	4	19
tt0539475	tt0158552	1	18
tt0539476	tt0158552	1	16
tt0539477	tt0158552	1	10
tt0539478	tt0158552	2	1
tt0539479	tt0158552	6	21
tt0539480	tt0158552	4	22
tt0539481	tt0158552	5	5
tt0539482	tt0158552	7	10
tt0539483	tt0158552	6	11
tt0539484	tt0158552	4	21
tt0539485	tt0158552	3	12
tt0539486	tt0158552	5	10
tt0539759	tt0083399	9	6
tt0540595	tt0094433	1	1
tt0540631	tt0094433	2	13
tt0540761	tt0268789	1	2
tt0542383	tt0206476	1	5
tt0542515	tt0233041	2	26
tt0542516	tt0233041	2	11
tt0542517	tt0233041	2	9
tt0542518	tt0233041	2	6
tt0542519	tt0233041	2	8
tt0542520	tt0233041	2	22
tt0542521	tt0233041	2	25
tt0542522	tt0233041	2	21
tt0542523	tt0233041	1	29
tt0542525	tt0377156	1	4
tt0542526	tt0377156	1	0
tt0542527	tt0377156	1	18
tt0543410	tt0115137	2	20
tt0543451	tt0162799	2	2
tt0543755	tt0190174	1	3
tt0543771	tt0081843	1	12
tt0543945	tt0368479	2	16
tt0544562	tt0055666	5	4
tt0544584	tt0055666	2	24
tt0545102	tt0101069	4	7
tt0546935	tt0108733	1	5
tt0547043	tt0086687	4	18
tt0547327	tt0047723	1	25
tt0549742	tt0415411	1	7
tt0549938	tt0103391	1	11
tt0550485	tt0452046	1	11
tt0550486	tt0452046	1	5
tt0550487	tt0452046	1	2
tt0550488	tt0452046	1	9
tt0550489	tt0452046	1	1
tt0550490	tt0452046	1	6
tt0550491	tt0452046	1	8
tt0550492	tt0452046	1	4
tt0550493	tt0452046	1	13
tt0550494	tt0452046	1	10
tt0550495	tt0452046	1	7
tt0550496	tt0452046	1	15
tt0550497	tt0452046	1	12
tt0550498	tt0452046	1	3
tt0552727	tt0115147	7	82
tt0552898	tt0115147	8	97
tt0553786	tt0053496	1	25
tt0554597	tt0204993	2	7
tt0556074	tt0348913	1	3
tt0556564	tt0044259	11	10
tt0557662	tt0108742	7	16
tt0557707	tt0108742	3	10
tt0557731	tt0108742	7	7
tt0559264	tt0105986	7	10
tt0559534	tt0462093	\N	\N
tt0560678	tt0161140	1	3
tt0560713	tt0101081	2	11
tt0560717	tt0101081	3	4
tt0561805	tt0064238	7	34
tt0562336	tt0047728	15	5
tt0562645	tt0283724	2	16
tt0563425	tt0241383	3	8
tt0563431	tt0241383	5	174
tt0566050	tt0478752	1	5
tt0567104	tt0207882	1	0
tt0567817	tt0098784	2	5
tt0568005	tt0108757	2	9
tt0568008	tt0108757	1	21
tt0568437	tt0115163	2	1
tt0572216	tt0244365	4	3
tt0572261	tt0244365	3	8
tt0573938	tt0206511	2	1
tt0574061	tt0318883	1	23
tt0574088	tt0318883	2	15
tt0574528	tt0121932	1	14
tt0574821	tt0058801	1	20
tt0575334	tt0078610	1	13
tt0575414	tt0078610	3	15
tt0575940	tt0081858	1	14
tt0576488	tt0105994	2	7
tt0576909	tt0182576	4	8
tt0576910	tt0182576	3	10
tt0576911	tt0182576	1	5
tt0576912	tt0182576	2	11
tt0576913	tt0182576	3	16
tt0576914	tt0182576	3	5
tt0576915	tt0182576	4	3
tt0576916	tt0182576	4	9
tt0576917	tt0182576	3	2
tt0576918	tt0182576	4	15
tt0576919	tt0182576	4	19
tt0576920	tt0182576	3	17
tt0576921	tt0182576	2	4
tt0576922	tt0182576	4	7
tt0576923	tt0182576	1	7
tt0576924	tt0182576	1	3
tt0576925	tt0182576	2	3
tt0576926	tt0182576	2	15
tt0576927	tt0182576	1	1
tt0576928	tt0182576	2	6
tt0576929	tt0182576	3	6
tt0576930	tt0182576	4	4
tt0576931	tt0182576	2	18
tt0576932	tt0182576	3	11
tt0576933	tt0182576	3	21
tt0576934	tt0182576	4	2
tt0576935	tt0182576	4	17
tt0576936	tt0182576	2	12
tt0576937	tt0182576	2	21
tt0576938	tt0182576	3	18
tt0576939	tt0182576	2	17
tt0576940	tt0182576	2	2
tt0576941	tt0182576	2	8
tt0576942	tt0182576	1	2
tt0576943	tt0182576	2	9
tt0576944	tt0182576	4	13
tt0576945	tt0182576	2	14
tt0576946	tt0182576	3	7
tt0576947	tt0182576	2	5
tt0576948	tt0182576	1	4
tt0576949	tt0182576	4	10
tt0576950	tt0182576	3	3
tt0576951	tt0182576	3	9
tt0576952	tt0182576	4	1
tt0576953	tt0182576	3	4
tt0576954	tt0182576	4	14
tt0576955	tt0182576	4	20
tt0576956	tt0182576	4	6
tt0576957	tt0182576	3	14
tt0576958	tt0182576	4	11
tt0576959	tt0182576	2	1
tt0576960	tt0182576	3	15
tt0576961	tt0182576	3	20
tt0576962	tt0182576	2	13
tt0576963	tt0182576	2	10
tt0576964	tt0182576	3	13
tt0576965	tt0182576	3	19
tt0576966	tt0182576	4	5
tt0576967	tt0182576	4	16
tt0576968	tt0182576	4	18
tt0576969	tt0182576	2	7
tt0576970	tt0182576	3	8
tt0576971	tt0182576	4	12
tt0576972	tt0182576	1	6
tt0576973	tt0182576	2	19
tt0576974	tt0182576	3	1
tt0576975	tt0182576	2	16
tt0576976	tt0182576	3	12
tt0576977	tt0182576	2	20
tt0576978	tt0182576	3	22
tt0577576	tt0174388	3	1
tt0578594	tt0072500	1	3
tt0578636	tt0443374	1	20
tt0578676	tt0134247	1	12
tt0578870	tt0380893	1	7
tt0579242	tt0103411	1	4
tt0579457	tt0083416	3	5
tt0579851	tt0086714	1	8
tt0579951	tt0098798	1	20
tt0579952	tt0098798	1	13
tt0579953	tt0098798	1	10
tt0579954	tt0098798	1	16
tt0579955	tt0098798	1	6
tt0579956	tt0098798	1	18
tt0579957	tt0098798	1	4
tt0579958	tt0098798	1	14
tt0579959	tt0098798	1	8
tt0579960	tt0098798	1	19
tt0579961	tt0098798	1	3
tt0579962	tt0098798	1	1
tt0579963	tt0098798	1	7
tt0579964	tt0098798	1	9
tt0579965	tt0098798	1	5
tt0579966	tt0098798	1	15
tt0579967	tt0098798	1	12
tt0579968	tt0098798	1	21
tt0579969	tt0098798	1	11
tt0579970	tt0098798	1	17
tt0579971	tt0098798	1	2
tt0580090	tt0217205	3	13
tt0581418	tt0043199	4	30
tt0581451	tt0247882	5	9
tt0581452	tt0247882	9	13
tt0581453	tt0247882	7	14
tt0581454	tt0247882	10	8
tt0581455	tt0247882	5	1
tt0581456	tt0247882	8	22
tt0581457	tt0247882	7	37
tt0581458	tt0247882	10	16
tt0581459	tt0247882	9	3
tt0581461	tt0247882	9	15
tt0581462	tt0247882	8	16
tt0581463	tt0247882	7	3
tt0581464	tt0247882	10	9
tt0581465	tt0247882	8	4
tt0581466	tt0247882	7	5
tt0581467	tt0247882	7	1
tt0581468	tt0247882	9	29
tt0581469	tt0247882	8	6
tt0581470	tt0247882	7	27
tt0581471	tt0247882	8	13
tt0581472	tt0247882	7	4
tt0581473	tt0247882	7	16
tt0581508	tt0057750	2	15
tt0581772	tt0073993	2	3
tt0581773	tt0073993	2	9
tt0581774	tt0073993	2	4
tt0581775	tt0073993	2	5
tt0581776	tt0073993	2	11
tt0581777	tt0073993	2	7
tt0581778	tt0073993	2	8
tt0581779	tt0073993	2	6
tt0581780	tt0073993	2	12
tt0581781	tt0073993	2	13
tt0581782	tt0073993	2	1
tt0581783	tt0073993	2	2
tt0581784	tt0073993	2	10
tt0581805	tt0052468	1	18
tt0582502	tt0106004	10	19
tt0583431	tt0108778	7	8
tt0583432	tt0108778	10	9
tt0583433	tt0108778	10	17
tt0583435	tt0108778	8	1
tt0583436	tt0108778	10	1
tt0583437	tt0108778	5	1
tt0583438	tt0108778	6	1
tt0583439	tt0108778	2	12
tt0583440	tt0108778	5	3
tt0583441	tt0108778	6	15
tt0583442	tt0108778	6	16
tt0583443	tt0108778	3	11
tt0583444	tt0108778	4	7
tt0583445	tt0108778	10	10
tt0583446	tt0108778	8	13
tt0583447	tt0108778	2	18
tt0583448	tt0108778	2	17
tt0583449	tt0108778	2	19
tt0583450	tt0108778	9	2
tt0583451	tt0108778	10	15
tt0583452	tt0108778	5	14
tt0583453	tt0108778	2	3
tt0583454	tt0108778	8	12
tt0583455	tt0108778	6	4
tt0583456	tt0108778	2	16
tt0583457	tt0108778	10	13
tt0583458	tt0108778	8	16
tt0583459	tt0108778	1	1
tt0583460	tt0108778	9	13
tt0583461	tt0108778	3	13
tt0583462	tt0108778	1	8
tt0583463	tt0108778	9	1
tt0583464	tt0108778	3	2
tt0583465	tt0108778	2	20
tt0583466	tt0108778	6	22
tt0583467	tt0108778	5	4
tt0583468	tt0108778	6	7
tt0583469	tt0108778	1	24
tt0583470	tt0108778	9	11
tt0583471	tt0108778	8	23
tt0583472	tt0108778	8	24
tt0583473	tt0108778	8	22
tt0583474	tt0108778	3	10
tt0583475	tt0108778	5	18
tt0583476	tt0108778	8	3
tt0583477	tt0108778	10	5
tt0583478	tt0108778	7	13
tt0583479	tt0108778	5	19
tt0583480	tt0108778	6	18
tt0583481	tt0108778	2	7
tt0583482	tt0108778	6	9
tt0583483	tt0108778	6	2
tt0583484	tt0108778	10	2
tt0583485	tt0108778	6	21
tt0583486	tt0108778	5	7
tt0583487	tt0108778	3	15
tt0583488	tt0108778	2	15
tt0583489	tt0108778	7	14
tt0583490	tt0108778	4	9
tt0583491	tt0108778	7	12
tt0583492	tt0108778	1	9
tt0583493	tt0108778	1	19
tt0583494	tt0108778	10	11
tt0583495	tt0108778	3	17
tt0583496	tt0108778	3	25
tt0583497	tt0108778	9	23
tt0583499	tt0108778	8	18
tt0583500	tt0108778	5	23
tt0583501	tt0108778	3	16
tt0583502	tt0108778	6	14
tt0583503	tt0108778	7	9
tt0583504	tt0108778	7	11
tt0583505	tt0108778	4	19
tt0583506	tt0108778	3	12
tt0583507	tt0108778	5	2
tt0583510	tt0108778	1	18
tt0583511	tt0108778	5	11
tt0583512	tt0108778	4	15
tt0583513	tt0108778	4	20
tt0583514	tt0108778	2	24
tt0583515	tt0108778	4	8
tt0583516	tt0108778	7	22
tt0583517	tt0108778	5	12
tt0583518	tt0108778	9	10
tt0583519	tt0108778	2	5
tt0583520	tt0108778	3	5
tt0583521	tt0108778	1	4
tt0583522	tt0108778	7	18
tt0583523	tt0108778	5	13
tt0583524	tt0108778	5	22
tt0583525	tt0108778	4	14
tt0583526	tt0108778	6	19
tt0583527	tt0108778	8	19
tt0583528	tt0108778	7	15
tt0583529	tt0108778	4	5
tt0583530	tt0108778	6	5
tt0583531	tt0108778	7	23
tt0583532	tt0108778	7	24
tt0583533	tt0108778	8	10
tt0583534	tt0108778	1	11
tt0583535	tt0108778	9	5
tt0583536	tt0108778	7	3
tt0583537	tt0108778	2	9
tt0583538	tt0108778	3	14
tt0583539	tt0108778	2	4
tt0583540	tt0108778	9	12
tt0583541	tt0108778	4	11
tt0583542	tt0108778	10	12
tt0583543	tt0108778	10	14
tt0583544	tt0108778	7	4
tt0583545	tt0108778	7	20
tt0583546	tt0108778	7	2
tt0583547	tt0108778	4	13
tt0583548	tt0108778	8	5
tt0583549	tt0108778	9	19
tt0583550	tt0108778	10	16
tt0583551	tt0108778	5	17
tt0583552	tt0108778	4	18
tt0583553	tt0108778	9	8
tt0583554	tt0108778	9	9
tt0583555	tt0108778	6	13
tt0583556	tt0108778	7	19
tt0583557	tt0108778	10	6
tt0583558	tt0108778	7	7
tt0583559	tt0108778	6	8
tt0583560	tt0108778	6	3
tt0583561	tt0108778	9	7
tt0583562	tt0108778	2	1
tt0583563	tt0108778	5	9
tt0583564	tt0108778	10	3
tt0583565	tt0108778	3	23
tt0583566	tt0108778	4	23
tt0583567	tt0108778	2	10
tt0583568	tt0108778	1	16
tt0583569	tt0108778	1	17
tt0583570	tt0108778	6	17
tt0583571	tt0108778	4	3
tt0583572	tt0108778	6	11
tt0583573	tt0108778	8	20
tt0583574	tt0108778	2	6
tt0583575	tt0108778	5	21
tt0583576	tt0108778	4	4
tt0583577	tt0108778	1	23
tt0583578	tt0108778	8	15
tt0583579	tt0108778	1	7
tt0583580	tt0108778	9	14
tt0583581	tt0108778	9	16
tt0583582	tt0108778	1	13
tt0583583	tt0108778	2	2
tt0583584	tt0108778	2	21
tt0583585	tt0108778	1	6
tt0583586	tt0108778	10	4
tt0583587	tt0108778	1	14
tt0583588	tt0108778	4	2
tt0583589	tt0108778	7	17
tt0583590	tt0108778	3	21
tt0583591	tt0108778	2	23
tt0583592	tt0108778	8	21
tt0583593	tt0108778	5	16
tt0583594	tt0108778	8	11
tt0583595	tt0108778	4	6
tt0583596	tt0108778	3	20
tt0583597	tt0108778	9	22
tt0583598	tt0108778	1	12
tt0583599	tt0108778	1	5
tt0583600	tt0108778	4	12
tt0583601	tt0108778	7	5
tt0583602	tt0108778	1	20
tt0583603	tt0108778	1	21
tt0583604	tt0108778	4	16
tt0583605	tt0108778	9	21
tt0583606	tt0108778	3	6
tt0583607	tt0108778	3	9
tt0583608	tt0108778	4	17
tt0583609	tt0108778	3	8
tt0583610	tt0108778	5	15
tt0583611	tt0108778	4	10
tt0583612	tt0108778	8	6
tt0583613	tt0108778	7	10
tt0583614	tt0108778	10	7
tt0583615	tt0108778	3	18
tt0583616	tt0108778	1	22
tt0583617	tt0108778	5	10
tt0583618	tt0108778	4	21
tt0583619	tt0108778	3	3
tt0583620	tt0108778	4	1
tt0583621	tt0108778	6	12
tt0583622	tt0108778	5	5
tt0583623	tt0108778	10	8
tt0583624	tt0108778	2	11
tt0583625	tt0108778	2	8
tt0583626	tt0108778	9	18
tt0583627	tt0108778	9	6
tt0583628	tt0108778	9	17
tt0583629	tt0108778	3	4
tt0583630	tt0108778	1	10
tt0583631	tt0108778	9	15
tt0583632	tt0108778	7	6
tt0583633	tt0108778	9	3
tt0583634	tt0108778	3	1
tt0583635	tt0108778	2	14
tt0583636	tt0108778	6	24
tt0583637	tt0108778	3	7
tt0583638	tt0108778	8	2
tt0583639	tt0108778	5	20
tt0583640	tt0108778	6	23
tt0583641	tt0108778	6	10
tt0583642	tt0108778	8	9
tt0583643	tt0108778	3	22
tt0583644	tt0108778	8	14
tt0583645	tt0108778	9	4
tt0583646	tt0108778	9	20
tt0583647	tt0108778	1	2
tt0583648	tt0108778	8	7
tt0583649	tt0108778	1	15
tt0583650	tt0108778	8	8
tt0583651	tt0108778	8	17
tt0583652	tt0108778	5	8
tt0583653	tt0108778	1	3
tt0583654	tt0108778	3	19
tt0583655	tt0108778	7	16
tt0583656	tt0108778	2	22
tt0583657	tt0108778	3	24
tt0583658	tt0108778	8	4
tt0583659	tt0108778	4	22
tt0583660	tt0108778	5	6
tt0583937	tt0056757	1	20
tt0584056	tt0247097	1	23
tt0584117	tt0092359	6	1
tt0587183	tt0310460	1	2
tt0588098	tt0057751	3	18
tt0588112	tt0238784	3	9
tt0588113	tt0238784	4	12
tt0588114	tt0238784	5	22
tt0588115	tt0238784	5	2
tt0588116	tt0238784	3	17
tt0588117	tt0238784	2	13
tt0588118	tt0238784	4	19
tt0588119	tt0238784	6	4
tt0588120	tt0238784	4	6
tt0588121	tt0238784	3	3
tt0588122	tt0238784	2	18
tt0588123	tt0238784	4	1
tt0588124	tt0238784	5	21
tt0588125	tt0238784	5	19
tt0588126	tt0238784	5	10
tt0588127	tt0238784	4	4
tt0588128	tt0238784	1	15
tt0588129	tt0238784	1	5
tt0588130	tt0238784	5	12
tt0588131	tt0238784	1	13
tt0588132	tt0238784	2	17
tt0588133	tt0238784	3	13
tt0588134	tt0238784	4	8
tt0588135	tt0238784	1	12
tt0588136	tt0238784	3	5
tt0588137	tt0238784	5	9
tt0588138	tt0238784	1	19
tt0588139	tt0238784	3	15
tt0588140	tt0238784	6	2
tt0588141	tt0238784	1	10
tt0588142	tt0238784	6	13
tt0588143	tt0238784	4	17
tt0588144	tt0238784	2	2
tt0588145	tt0238784	3	18
tt0588146	tt0238784	6	10
tt0588147	tt0238784	2	20
tt0588148	tt0238784	3	21
tt0588149	tt0238784	5	20
